Entity Name,Count,Normalized Name
Yangshan Port Transshipment Business,1,Port Transshipment Business (Yangshan)
Yangshan Port Transshipment Volume in 2024,1,Port Transshipment Volume (Yangshan 2024)
International Stakeholders,1,International Stakeholders
Shipping Costs,1,Shipping Cost
Belgian Customs,1,Belgian Customs
Logistics Operations,1,Logistics Operation
Customs,1,Customs Authority
Goods in Bonded Zone,1,Goods (Bonded Zone)
Logistical Efficiency,1,Logistical Efficiency
Export Shipment,1,Export Shipment
Import Shipment,1,Import Shipment
Single-Hulled Tanker,1,Tanker (Single Hulled)
Future Ports,1,Port (Future)
Manual Labor in Ports,1,Manual Labor (Ports)
Human Personnel in Automated Ports,1,Human Personnel (Automated Ports)
Future Regulations,1,Regulation (Future)
Importers/Exporters,1,Importer/Exporter
Importer/Agent (Empty Containers),1,Importer/Agent (Empty Containers)
Passenger Vessel,1,Passenger Vessel
Vessel with Height Change,1,Vessel
Vessel (First Call/Changed Certificates),1,Vessel
MPA,1,MPA
Safety Self-Check Requirement,1,Safety Self-Check Requirement
Master,1,Master
Marine Services and Facilities,1,Marine Service/Facility
Lighthouse,1,Lighthouse
Harbour Craft,1,Harbour Craft
Goods,1,Goods
Equipment,1,Equipment
Dues,1,Dues
Dock,1,Dock
Director of Marine,1,Director of Marine
Deputy Chairperson,1,Deputy Chairperson
Dangerous Cargoes,1,Dangerous Goods
Container,1,Container
Chief Executive,1,Chief Executive
Chairperson,1,Chairperson
Buoy,1,Buoy
Berthing Master,1,Berthing Master
Beacon,1,Beacon
Yangshan Free Port Status,1,Free Port Status (Yangshan)
Appointed Officer,1,Appointed Officer
Yangshan Free Port Policies,1,Free Port Policy (Yangshan)
Yangshan Port Competitiveness,1,Port Competitiveness (Yangshan)
Vessel of Charged Owner/Master,1,Vessel (Charged Owner/Master)
Non-Compliant Owner/Master Vessel,1,Vessel (Non-Compliant Owner/Master)
Detained Vessel,1,Vessel (Detained)
Arrested Vessel,1,Vessel (Arrested)
Port User,1,Port User
Trader at Exit,1,Trader
International Participation in Shipping,1,International Participation (Shipping)
Client (Reefer Container User),1,Customer
German Customs,1,German Customs
Declarant,1,Declarant
Hazardous Goods Shipment,1,Hazardous Goods Shipment
LNG Bunker Operation,1,Bunkering Operation (LNG)
Foreign Vessels,1,Vessel (Foreign)
Bunkering Operation,1,Bunkering Operation
LNG Bunker Supplier,1,Bunker Supplier (LNG)
Bunker Ship,1,Bunker Ship
Bunker Supplier,1,Bunker Supplier
Reporting Line,1,Reporting Line
AIS-Equipped Vessels,1,Vessel (AIS Equipped)
Vessels Crossing Main Fairway,1,Vessel
BMEL (Federal Ministry of Food and Agriculture),1,BMEL
BAFA (Federal Office for Economic Affairs and Export Control),1,BAFA
Logistics Professional,1,Logistics Professional
Shipper/Agent,1,Shipper/Agent
Master of Vessel from Foreign Port,1,Master (From Foreign Port)
All Parties in Transport Chain,1,Party (Transport Chain)
Shipping Agent/Terminal,1,Shipping Agent/Terminal
Port of Hamburg,1,Port of Hamburg
"Customers, Potentially Smaller Companies",1,Customer (Potentially Small)
"Truck Drivers, Smaller Haulage Companies",1,Trucker/Haulage Company (Small)
Vessels Crossing Jinshan Fairway,1,Vessel
Customers of EUROGATE,1,Customer (EUROGATE)
Clients of HHLA,1,Customer (HHLA)
Vessel Position Reports,1,Vessel Position Report
Haulage Company Collecting T1 Goods,1,Haulage Company (Collecting T1 Goods)
Vessels East of Huangzeyang Light-vessel,1,Vessel
Truck Driver Arriving Late,1,Trucker (Arriving Late)
Hazardous Goods Declaration,1,Dangerous Goods Declaration
Hazardous Goods Storage Facility,1,Hazardous Goods Storage Facility
Front Quay Transit Warehouse,1,Front Quay Transit Warehouse
Fumigation Company,1,Fumigation Company
Larger Vessels,1,Vessel
Domestic Maritime Transportation,1,Domestic Maritime Transportation
Port of Antwerp-Bruges,1,Port of Antwerp-Bruges
Container Vessels,1,Container Vessel
Container Terminal Facilities,1,Container Terminal Facility
Port Area Companies (Specific Types),1,Port Area Company (Specific Types)
Port Users (Witnessing/Causing Oil Spill),1,Port User (Oil Spill Witness/Cause)
Tankers & Tank Barges (Hazardous/Polluting Goods),1,Tanker/Tank Barge (Hazardous/Polluting)
Port Users & Port Authority (General Benefit of APICS),1,Port User/Port Authority (APICS Benefit)
Declarants (Hazardous Goods),1,Declarant (Hazardous Goods)
Bunker Companies & Harbour Master's Office,1,Bunker Company/Harbour Master Office
Vessel Agent,1,Vessel Agent
Port Users (General),1,Port User
Container Logistics Regulation,1,Container Logistics Regulation
Maritime Code,1,Maritime Code
Importer of Containerized Cargo,1,Importer of Containerized Cargo
General Goods (Non-Hazardous) in Transit Warehouse (Non-Front Quay),1,"Goods (General, Non-Front Quay Warehouse)"
Packaged Hazardous Goods in Front Quay Transit Warehouse,1,"Hazardous Goods (Packaged, Front Quay Warehouse)"
Seagoing Vessel (including Large Container Vessels),1,Sea-going Vessel
Declarant (Hazardous Goods),1,Declarant (Hazardous/Dangerous Goods)
APICS System,1,APICS System
Yangshan Port Special Status,1,Special Status (Yangshan)
China's Shipping Regulation Approach,1,Shipping Regulation Approach (China)
Pontoon,1,Pontoon
Tug Request,1,Tug Request
Land-Based Fumigation,1,Fumigation (Land-Based)
Ship-Based Fumigation,1,Fumigation (Ship-Based)
Port Users (Violating Category 1 & 2 Violations),1,Port User (Violation Cat 1/2)
